# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "-t" "exon" "-g" "gene_id" "-a" "/home/flst8788/Genome-Analysis-1MB462/analysis/03_annotation/braker_chr3_ET/braker.gtf" "-o" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/featurecounts/counts.txt" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_1.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_2.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_3.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_1.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_2.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_1.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_2.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_3.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_1.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_2.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_3.sorted.bam
g11	contig_105_pilon;contig_105_pilon	7;223	145;540	-;-	457	0	0	0	0	0	0
g12	contig_105_pilon	644	937	+	294	0	0	0	0	0	0
g13	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	3191;4472;4894;5531;6157;6296;6666;6928;7295;9341	3307;4576;5267;5788;6188;6533;6786;6978;7509;9584	+;+;+;+;+;+;+;+;+;+	1755	0	0	0	0	0	0
g14	contig_105_pilon	16558	16926	-	369	2	2	3	0	0	0
g15	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	17028;17185;17369;17554;18323;19340;19780;20104;20487;20797;21041;21284;21631	17093;17268;17457;17742;19103;19426;19863;20190;20582;20942;21155;21434;21776	+;+;+;+;+;+;+;+;+;+;+;+;+	2121	314	532	453	399	273	296
g16	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	22533;22533;22533;22861;22861;22861;23124;23124;23124;23537;23537;23537;23927;23927;23927;24384;24384;24384;24594;24594;24594;24802;24802;24802;25374;25606;25606;25606;26437;26460;26903;26903;27747;27902;27902	22710;22710;22710;23016;23016;23016;23255;23255;23255;23676;23676;23676;24031;24031;24031;24448;24448;24448;24635;24635;24635;25462;25291;25462;25404;26013;25637;25697;26463;26463;26981;26981;27805;28178;28178	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2329	110	88	86	46	29	81
g17	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	29723;29948;30752;31104;31311;31791;32281;32724;33160;33388;33738;34159;34355;34532;34548;34621;35271;35271;35538;35538;35908;35908	29886;30085;30873;31138;31414;31994;32368;32880;33263;33467;33931;34245;34395;34571;34725;34725;35380;35380;35656;35656;35998;35998	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2032	6621	5268	4990	2783	3589	3706
g18	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	36694;37130;37365;37650;37896;38222;39091	36837;37215;37419;37738;38052;38431;39114	-;-;-;-;-;-;-	765	1758	2969	2430	1441	1481	2127
g19	contig_105_pilon;contig_105_pilon;contig_105_pilon	42117;42542;42981	42479;42812;43753	+;+;+	1407	1902	2694	3378	448	286	911
g20	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	45226;45804;46026;46209;46504;46907;47235;47522;48179;48790;48924;49132;49351;49685	45382;45895;46108;46290;46731;47008;47370;47571;48420;48876;48999;49214;49575;49979	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1938	728	1343	1266	240	92	409
g21	contig_105_pilon;contig_105_pilon;contig_105_pilon	53154;53355;54079	53268;53669;54101	+;+;+	453	93	85	137	149	66	264
g22	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	54534;54534;54534;54906;54906;54906;55214;55214;55214;55599;55599;55599;55781;56030;56086;56086;56469;56469;56469;57153;57153;57153;57486;57486;57493;57678;57715;57847;57847;61239;61239;61469;61469;61679;61679;62567;62567;62809;62809;63306;63574;63855;64075;64433;64586;64877;65271;65545;66555;66702;66856;67227;67394;67591;67900;68250;68496	54668;54668;54668;55022;55022;55022;55393;55393;55393;55868;55703;55868;55868;56188;56188;56188;56794;56794;56794;57302;57302;57302;57629;57629;57545;57725;57725;57865;57865;61411;61411;61634;61634;61922;61922;62640;62640;62892;62916;63389;63654;63947;64322;64484;64639;64969;65337;65581;66651;66713;67020;67269;67455;67687;67970;68341;68568	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3834	2445	2435	2192	1998	1514	2995
g23	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	69215;69708;69935;70172;70398;70913;71138;71399;71706;71941;72234;72512	69352;69806;69990;70278;70599;70967;71199;71512;71768;71950;72319;72929	-;-;-;-;-;-;-;-;-;-;-;-	1410	562	445	496	444	426	394
g24	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	73061;73315;73762;74204;76126	73213;73538;74104;75660;76546	+;+;+;+;+	2598	657	165	190	1019	1013	875
g25	contig_105_pilon;contig_105_pilon	77861;78319	78232;78984	-;-	1038	4	2	10	338	98	139
g26	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	79509;80940;82471;82730;82880;83138;83621;83812;84048;84264;84804;85178;85818;88934;89593;89858;90122;90320;90684;90958;91278;91480	80393;82288;82558;82775;82962;83249;83671;83891;84131;84422;84962;85245;86589;89124;89751;89965;90203;90499;90896;90971;91345;91574	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5046	6753	1538	2266	4420	2340	4579
g27	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	91665;91665;91665;91967;92258;92258;92258;92787;92787;92787;92865;93296;93303;93303;93766;93766;93766;94027;94027;94027;94432;94432;94432;94700;94700;94700;94881;94881;94881;95181;95181;95181;95370;95370;95370	91733;91733;91733;92047;92368;92368;92368;92880;92815;92880;92880;93421;93421;93421;93891;93891;93891;94360;94360;94360;94491;94491;94491;94791;94791;94791;94994;94994;94994;95245;95245;95245;95463;95463;95463	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1366	117	101	87	41	13	113
g28	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	95689;96062;96227;96429	95955;96124;96268;96431	-;-;-;-	375	8	2	8	22	23	32
g29	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	99278;99448;100311;100651;100856;101937;102191	99291;99541;100359;100722;100906;102059;102246	+;+;+;+;+;+;+	459	3968	5541	4032	5580	5239	4214
g30	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	101434;102296;102296;102300;102737;102737;102737;103089;103089;103089;103455;103455;103455;104021;104021;104134;104373;104373;104912;104922;104922;105106;105106;105106;105469;105469;105469;105957;105957;105957;106495;106495;106495;106731;106731;106731;107103;107103;107103;107780;107780;107780;108194;108194;108194	101584;102481;102481;102481;102892;102892;102892;103198;103198;103198;103821;103786;103786;104031;104031;104181;104397;104397;105001;105001;105001;105366;105366;105366;105671;105671;105671;106370;106379;106379;106627;106627;106627;106983;106983;106983;107493;107493;107493;107907;107907;107907;108288;108288;108288	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3031	938	816	739	1013	387	1178
g31	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	108479;108698;108940;109361;109586;109723	108493;108799;109050;109457;109679;109879	-;-;-;-;-;-	576	328	274	300	220	91	513
g32	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	110272;110272;110272;110648;110648;110648;111011;111011;111011;111207;111438;111438;114715;114715;114715;114920;114920;114920	110391;110395;110391;110652;110710;110710;111025;111025;111025;111285;111501;111501;114789;114789;114789;114930;114930;114930	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	431	359	466	387	95	30	220
g33	contig_105_pilon;contig_105_pilon;contig_105_pilon	114955;115337;116026	115041;115595;117182	+;+;+	1503	947	9970	5962	323	830	1578
g34	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	118170;118385;118472;119239;119450;119706;119896;120096;120652;121155;122248;122617;123195;123699;124029	118240;118401;118552;119306;119569;119791;119968;120503;120987;122013;122305;122746;123294;123820;124697	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3198	35	46	29	9	3	14
g35	contig_105_pilon;contig_105_pilon;contig_105_pilon;contig_105_pilon	124976;126130;126381;126601	124978;126264;126387;126842	-;-;-;-	387	1	3	0	0	0	2
g36	contig_105_pilon	141973	142749	-	777	0	0	0	0	0	0
g37	contig_105_pilon	142818	143108	+	291	0	0	0	0	0	0
g38	contig_105_pilon	146458	146877	+	420	0	0	0	0	0	0
g39	contig_105_pilon	154615	155220	-	606	0	0	0	0	0	0
g40	contig_105_pilon;contig_105_pilon	155280;155845	155608;156052	-;-	537	0	0	0	0	0	0
g41	contig_105_pilon	158141	158431	-	291	0	0	0	0	0	0
g42	contig_105_pilon	158500	159276	+	777	0	0	0	0	0	0
g43	contig_105_pilon	164995	165885	-	891	0	0	0	0	0	0
g44	contig_105_pilon	165961	166242	+	282	0	0	0	0	0	0
g45	contig_105_pilon	168150	168491	-	342	0	0	0	0	0	0
g46	contig_105_pilon	168561	168848	-	288	0	0	0	0	0	0
g47	contig_10_pilon;contig_10_pilon;contig_10_pilon;contig_10_pilon;contig_10_pilon;contig_10_pilon;contig_10_pilon	323;591;2898;3204;3627;4056;4433	423;995;2981;3460;3904;4367;4729	-;-;-;-;-;-;-	1734	0	0	4	2	0	0
g48	contig_10_pilon;contig_10_pilon;contig_10_pilon;contig_10_pilon	4817;5306;5684;5962	5071;5425;5803;6570	-;-;-;-	1104	0	0	0	0	0	0
g49	contig_10_pilon;contig_10_pilon;contig_10_pilon	10322;11806;12490	11728;12384;13749	+;+;+	3246	0	0	0	0	0	0
g50	contig_10_pilon;contig_10_pilon;contig_10_pilon;contig_10_pilon;contig_10_pilon;contig_10_pilon	14548;15010;15838;16987;17424;17939	14951;15763;16905;17370;17869;18260	-;-;-;-;-;-	3378	0	4	0	0	0	0
g51	contig_10_pilon	18296	18751	-	456	0	0	0	0	0	0
g52	contig_10_pilon	18830	19198	-	369	0	0	0	0	0	0
g53	contig_10_pilon;contig_10_pilon;contig_10_pilon	20405;21088;21768	20978;21703;21972	-;-;-	1395	0	0	0	0	0	0
g54	contig_10_pilon;contig_10_pilon	21997;22216	22126;22391	-;-	306	0	0	0	0	0	0
g55	contig_10_pilon;contig_10_pilon;contig_10_pilon;contig_10_pilon;contig_10_pilon	22535;23612;23897;24500;25299	23570;23760;23959;24877;25379	-;-;-;-;-	1707	0	0	0	0	0	6
g56	contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon	3246;4510;5642;7806;8006;8499	4352;5416;6156;7963;8370;8755	-;-;-;-;-;-	3309	0	0	0	0	0	0
g57	contig_111_pilon	8895	9146	-	252	0	0	0	0	0	0
g58	contig_111_pilon	9357	9629	+	273	0	0	0	0	0	0
g59	contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon	9953;10882;11456;11854;12124;12339;12723;13020;13641;14043;14610	10823;10985;11812;12013;12202;12542;12976;13570;13893;14429;14911	-;-;-;-;-;-;-;-;-;-;-	3522	0	0	0	0	0	0
g60	contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon	14958;15196;15863;16112	15010;15606;15984;16194	+;+;+;+	669	0	0	0	0	0	0
g61	contig_111_pilon	16988	17644	-	657	0	0	0	0	0	0
g62	contig_111_pilon;contig_111_pilon	17770;17957	17845;18213	-;-	333	0	0	0	0	0	0
g63	contig_111_pilon	18264	18596	+	333	0	0	0	1	0	0
g64	contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon	19413;19782;20255;20692;21026;21154;21678;21872;23161;23527	19625;19898;20363;20774;21095;21274;21767;21954;23378;23652	+;+;+;+;+;+;+;+;+;+	1230	0	0	0	0	0	0
g65	contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon	24015;24507;24702;25384;25676;25976;26401;26649;26745;27228	24059;24581;25102;25579;25873;26191;26513;26692;27001;27407	+;+;+;+;+;+;+;+;+;+	1725	0	0	0	0	0	0
g66	contig_111_pilon	27453	28022	+	570	0	0	0	0	0	2
g67	contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon	28114;29393;30232;30707;31279;31495;31784	29012;29466;30623;31054;31399;31695;32016	+;+;+;+;+;+;+	2268	0	0	0	2	0	0
g68	contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon;contig_111_pilon	33474;34300;34648;35106;35302	34247;34553;35055;35206;35471	-;-;-;-;-	1707	0	0	0	0	0	0
g69	contig_112_pilon;contig_112_pilon;contig_112_pilon;contig_112_pilon;contig_112_pilon;contig_112_pilon;contig_112_pilon	1622;2401;3184;3404;9116;9574;10210	2263;3063;3318;3487;9441;9641;10331	-;-;-;-;-;-;-	2040	0	0	0	0	0	0
g70	contig_112_pilon;contig_112_pilon;contig_112_pilon;contig_112_pilon;contig_112_pilon	15713;16206;16438;17284;17864	15756;16394;16514;17820;18328	+;+;+;+;+	1312	0	2	4	0	0	2
g71	contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon	823;1291;1455;1666;2587;3100;3379;3654	897;1409;1561;1993;2697;3261;3510;3705	-;-;-;-;-;-;-;-	1086	0	0	0	0	0	0
g72	contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon	8151;8715;8950;9210;9592;9751;9891;10139;10384;10600;11668;12202;12447;12645	8668;8908;9105;9415;9666;9808;10004;10245;10473;11540;12028;12393;12585;12946	-;-;-;-;-;-;-;-;-;-;-;-;-;-	3453	0	0	0	0	0	0
g73	contig_117_pilon;contig_117_pilon	13153;13524	13390;13645	+;+	360	0	0	0	0	0	0
g74	contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon	14808;15540;15714;15984	15366;15635;15888;16083	-;-;-;-	930	0	0	0	0	0	0
g75	contig_117_pilon	16227	16706	-	480	0	0	0	0	0	0
g76	contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon	20798;21352;21638;22197;22602;22931;23095;24088	20959;21528;22070;22542;22728;22967;24042;24251	-;-;-;-;-;-;-;-	2394	2	0	0	16	6	18
g77	contig_117_pilon;contig_117_pilon;contig_117_pilon	24303;24709;25545	24464;25485;26120	-;-;-	1515	0	0	0	1	0	0
g78	contig_117_pilon	28064	28474	+	411	0	0	0	0	0	0
g79	contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon;contig_117_pilon	31148;31313;32886;33002;33596;34094	31266;31383;32958;33448;34050;34521	+;+;+;+;+;+	1593	0	0	0	0	0	0
g80	contig_117_pilon	35117	35749	+	633	0	0	0	0	0	0
g81	contig_118_pilon;contig_118_pilon;contig_118_pilon	92;454;698	384;642;803	+;+;+	588	1	6	9	4	0	5
g82	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	633;1087;1333;2492	972;1248;1486;2766	-;-;-;-	931	0	0	0	0	0	0
g83	contig_120_pilon;contig_120_pilon	2973;3625	3515;4674	-;-	1593	0	0	0	0	0	0
g84	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	6691;6887;7233;7553;7690;8542;9261;9554;9787;13272;13500;14087;14348	6791;7127;7480;7568;8413;8783;9377;9683;10363;13434;13748;14203;14479	-;-;-;-;-;-;-;-;-;-;-;-;-	3057	0	0	0	0	0	0
g85	contig_120_pilon;contig_120_pilon;contig_120_pilon;contig_120_pilon	16268;16730;16929;17427	16656;16821;17317;18152	+;+;+;+	1596	0	0	0	0	0	0
g86	contig_120_pilon;contig_120_pilon	18177;18933	18699;18958	+;+	549	0	0	0	0	0	0
